,Postcode,Borough,Neighbourhood
93,M4N,Central Toronto,Lawrence Park
94,M5N,Central Toronto,Roselawn
95,M6N,York,"Runnymede, The Junction North"
98,M9N,York,Weston
99,M1P,Scarborough,"Wexford Heights, Scarborough Town Centre, Dorset Park"
100,M2P,North York,York Mills West
102,M4P,Central Toronto,Davisville North
103,M5P,Central Toronto,"Forest Hill West, Forest Hill North"
104,M6P,West Toronto,"The Junction South, High Park"
107,M9P,Etobicoke,Westmount
108,M1R,Scarborough,"Wexford, Maryvale"
109,M2R,North York,Willowdale West
111,M4R,Central Toronto,North Toronto West
112,M5R,Central Toronto,"Yorkville, North Midtown, The Annex"
113,M6R,West Toronto,"Roncesvalles, Parkdale"
114,M7R,Mississauga,Canada Post Gateway Processing Centre
116,M9R,Etobicoke,"St. Phillips, Richview Gardens, Martin Grove Gardens, Kingsview Village"
117,M1S,Scarborough,Agincourt
120,M4S,Central Toronto,Davisville
121,M5S,Downtown Toronto,"University of Toronto, Harbord"
122,M6S,West Toronto,"Swansea, Runnymede"
126,M1T,Scarborough,"Tam O'Shanter, Sullivan, Clarks Corners"
129,M4T,Central Toronto,"Summerhill East, Moore Park"
130,M5T,Downtown Toronto,"Kensington Market, Grange Park, Chinatown"
135,M1V,Scarborough,"Steeles East, Milliken, L'Amoreaux East, Agincourt North"
138,M4V,Central Toronto,"Summerhill West, South Hill, Rathnelly, Forest Hill SE, Deer Park"
139,M5V,Downtown Toronto,"South Niagara, Railway Lands, King and Spadina, Harbourfront West, Island airport, Bathurst Quay, CN Tower"
142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
143,M9V,Etobicoke,"Thistletown, South Steeles, Silverstone, Mount Olive, Jamestown, Humbergate, Beaumond Heights, Albion Gardens"
144,M1W,Scarborough,L'Amoreaux West
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
151,M8W,Etobicoke,"Long Branch, Alderwood"
152,M9W,Etobicoke,Northwest
153,M1X,Scarborough,Upper Rouge
156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
157,M5X,Downtown Toronto,"Underground city, First Canadian Place"
160,M8X,Etobicoke,"Old Mill North, Montgomery Road, The Kingsway"
165,M4Y,Downtown Toronto,Church and Wellesley
168,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
169,M8Y,Etobicoke,"Sunnylea, Royal York South East, The Queensway East, Old Mill South, Mimico NE, Kingsway Park South East, King's Mill Park, Humber Bay"
178,M8Z,Etobicoke,"South of Bloor, Royal York South West, The Queensway West, Mimico NW, Kingsway Park South West"
